Model,R2_train,R2_test,RMSE_train,RMSE_test,Overfit
GradientBoosting,0.9453825322492864,0.9317364191744669,1108.4156645962576,1236.9021389420234,No
RandomForest,0.9897402746211581,0.9290531751467899,480.4019288183867,1260.977361072565,No
KNeighbors,0.9489720851014894,0.9262536863960161,1071.373217636844,1285.6151024693484,No
DecisionTree,0.9378300117891618,0.9038177644782748,1182.5711148377118,1468.2102142420567,No
ElasticNet,0.734005593432888,0.7367559446151559,2446.0939103232454,2428.958495676928,No
Ridge,0.7340714304087054,0.7366050121360392,2445.7911720175725,2429.6547244913777,No
LinearRegression,0.734071763330407,0.7365884288851352,2445.7896410477806,2429.7312083684387,No
Lasso,0.7340715361814424,0.7365730054442071,2445.7906856124214,2429.8023409065017,No
SVR,0.7256455314193728,0.7326415795277494,2484.2362426212844,2447.8665683999625,No
